,words,B,AB,MI
0,mr,94,1,1.8406774981614582
1,ollerenshaw,137,1,1.2972342668785688
2,she,789,2,-0.2286151401743631
3,arranged,5,1,6.073338254951733
4,her,546,14,3.109864130976847
5,and,1608,8,0.7442146586601669
6,her,546,14,3.109864130976847
7,parasol,10,2,6.073338254951733
8,and,1608,8,0.7442146586601669
9,aristocratic,4,1,6.395266349839095
10,that,751,1,-1.1574027476751763
11,went,41,1,3.037714345221012
12,with,407,2,0.7263813655728486
13,her,546,14,3.109864130976847
14,and,1608,8,0.7442146586601669
15,her,546,14,3.109864130976847
16,parasol,10,2,6.073338254951733
17,he,1259,2,-0.9027962178799211
18,evolution,1,1,8.395266349839096
19,but,328,1,0.03771434522101166
20,because,53,1,2.6673458952758966
21,the,2584,12,0.6448384958663269
22,check,3,1,6.81030384911794
23,suited,10,1,5.073338254951733
24,her,546,14,3.109864130976847
25,and,1608,8,0.7442146586601669
26,the,2584,12,0.6448384958663269
27,the,2584,12,0.6448384958663269
28,sombre,2,1,7.395266349839095
29,magnificence,4,1,6.395266349839095
30,of,1430,5,0.23539501306070618
31,her,546,14,3.109864130976847
32,and,1608,8,0.7442146586601669
33,her,546,14,3.109864130976847
34,gloves,17,1,4.307803508588757
35,and,1608,8,0.7442146586601669
36,an,184,1,0.8717043937820826
37,admiring,1,1,8.395266349839096
38,interest,12,1,4.81030384911794
39,over,76,1,2.14733883639551
40,her,546,14,3.109864130976847
41,and,1608,8,0.7442146586601669
42,up,98,1,1.7805565057238875
43,into,117,2,2.524901630255691
44,the,2584,12,0.6448384958663269
45,lifted,6,1,5.81030384911794
46,the,2584,12,0.6448384958663269
47,hem,1,1,8.395266349839096
48,of,1430,5,0.23539501306070618
49,her,546,14,3.109864130976847
50,just,67,1,2.3291771593813233
51,two,73,1,2.2054417909590787
52,inches,3,1,6.81030384911794
53,the,2584,12,0.6448384958663269
54,her,546,14,3.109864130976847
55,surreptitiously,1,1,8.395266349839096
56,in,869,5,0.9539820779120577
57,her,546,14,3.109864130976847
58,fine,17,1,4.307803508588757
59,on,353,3,1.5167044772890717
60,which,168,2,2.002948927060335
61,was,903,5,0.8986122672455997
62,not,396,2,0.7659097297594858
63,he,1259,2,-0.9027962178799211
64,was,903,5,0.8986122672455997
65,afraid,10,1,5.073338254951733
66,of,1430,5,0.23539501306070618
67,her,546,14,3.109864130976847
68,not,396,2,0.7659097297594858
69,of,1430,5,0.23539501306070618
70,the,2584,12,0.6448384958663269
71,material,3,1,6.81030384911794
72,her,546,14,3.109864130976847
73,blue,9,1,5.225341348396784
74,and,1608,8,0.7442146586601669
75,white,20,2,5.073338254951733
76,striped,2,1,7.395266349839095
77,was,903,5,0.8986122672455997
78,impeccably,1,1,8.395266349839096
79,put,50,1,2.7514101600643706
80,on,353,3,1.5167044772890717
81,world,20,1,4.073338254951733
82,in,869,5,0.9539820779120577
83,general,6,1,5.81030384911794
84,if,143,1,1.2353950130607063
85,his,555,1,-0.7210776113983729
86,had,661,1,-0.973240111668596
87,been,172,1,0.9690015951369976
88,less,16,1,4.395266349839096
89,untidy,1,1,8.395266349839096
90,kitchen,33,1,3.3508722304806424
91,into,117,2,2.524901630255691
92,the,2584,12,0.6448384958663269
93,front,44,1,2.935834731201798
94,room,84,1,2.002948927060335
95,white,20,2,5.073338254951733
96,muslin,2,1,7.395266349839095
97,unspeakable,1,1,8.395266349839096
98,extravagance,1,1,8.395266349839096
99,was,903,5,0.8986122672455997
100,wearing,6,1,5.81030384911794
101,her,546,14,3.109864130976847
102,black,21,1,4.002948927060335
103,mousseline,1,1,8.395266349839096
104,theoretically,1,1,8.395266349839096
105,done,23,1,3.8717043937820823
106,with,407,2,0.7263813655728486
107,which,168,2,2.002948927060335
108,startled,8,1,5.395266349839096
109,a,1355,3,-0.42384828568098226
110,gentleman,6,3,7.395266349839095
111,in,869,5,0.9539820779120577
112,evening,18,4,6.225341348396784
113,stood,26,1,3.6948266316980036
114,at,370,1,-0.13611511067721666
115,the,2584,12,0.6448384958663269
116,welcoming,1,1,8.395266349839096
117,gone,23,1,3.8717043937820823
118,the,2584,12,0.6448384958663269
119,gentleman,6,3,7.395266349839095
120,in,869,5,0.9539820779120577
121,evening,18,4,6.225341348396784
122,was,903,5,0.8986122672455997
123,out,106,1,1.6673458952758964
124,on,353,3,1.5167044772890717
125,the,2584,12,0.6448384958663269
126,instead,13,1,4.694826631698003
127,of,1430,5,0.23539501306070618
128,a,1355,3,-0.42384828568098226
129,faultless,5,2,7.073338254951733
130,evening,18,4,6.225341348396784
131,emanuel,157,1,1.1006456009474685
132,wore,11,1,4.9358347312017985
133,a,1355,3,-0.42384828568098226
134,faultless,5,2,7.073338254951733
135,said,406,2,0.7299304326539194
136,the,2584,12,0.6448384958663269
137,gentleman,6,3,7.395266349839095
138,in,869,5,0.9539820779120577
139,evening,18,4,6.225341348396784
140,entered,10,1,5.073338254951733
141,fritz,5,1,6.073338254951733
142,said,406,2,0.7299304326539194
